player,team,salary
Stephen Curry,GSW,37457154
Chris Paul,HOU,35654150
Russell Westbrook,OKC,35654150
LeBron James,LAL,35654150
Blake Griffin,DET,32088932
Gordon Hayward,BOS,31214295
Kyle Lowry,TOR,31200000
Paul George,OKC,30560700
Mike Conley,MEM,30521116
James Harden,HOU,30431854
Kevin Durant,GSW,30000000
Paul Millsap,DEN,29730769
Al Horford,BOS,28928710
Damian Lillard,POR,27977689
DeMar DeRozan,SAS,27739975
Chris Bosh,MIA,26837720
Otto Porter,WAS,26011913
Jrue Holiday,NOP,25976111
CJ McCollum,POR,25759766
Carmelo Anthony,ATL,25534253
Andrew Wiggins,MIN,25467250
Joel Embiid,PHI,25467250
Bradley Beal,WAS,25434263
Anthony Davis,NOP,25434263
Andre Drummond,DET,25434263
Hassan Whiteside,MIA,25434263
Nikola Jokic,DEN,24605181
Steven Adams,OKC,24157304
Giannis Antetokounmpo,MIL,24157304
Kevin Love,CLE,24119025
Marc Gasol,MEM,24119025
Chandler Parsons,MEM,24107258
Harrison Barnes,DAL,24107258
Nicolas Batum,CHO,24000000
Rudy Gobert,UTA,23241573
Kawhi Leonard,TOR,23114067
DeAndre Jordan,DAL,22900000
LaMarcus Aldridge,SAS,22347015
Serge Ibaka,TOR,21666667
Aaron Gordon,ORL,21590909
Danilo Gallinari,LAC,21587579
Victor Oladipo,IND,21000000
Jimmy Butler,PHI,20445779
Ryan Anderson,PHO,20421546
Kyrie Irving,BOS,20099189
Jabari Parker,CHI,20000000
Zach LaVine,CHI,19500000
Tyler Johnson,MIA,19245370
John Wall,WAS,19169800
George Hill,CLE,19000000
Jeff Teague,MIN,19000000
Klay Thompson,GSW,18988725
Dwight Howard,BRK,18919725
Enes Kanter,NYK,18622514
Wesley Matthews,DAL,18622514
Joakim Noah,NYK,18530000
Allen Crabbe,BRK,18500000
Goran Dragic,MIA,18109175
Kent Bazemore,ATL,18089887
Evan Turner,POR,17868852
Draymond Green,GSW,17469565
Tristan Thompson,CLE,17469565
Tim Hardaway,NYK,17325000
Reggie Jackson,DET,17043478
Evan Fournier,ORL,17000000
Bismack Biyombo,CHO,17000000
Derrick Favors,UTA,16900000
Pau Gasol,SAS,16800000
Jonas Valanciunas,TOR,16539326
Gary Harris,DEN,16517857
Andre Iguodala,GSW,16000000
Timofey Mozgov,ORL,16000000
Ian Mahinmi,WAS,15944154
Dennis Schroder,OKC,15500000
DeMarre Carroll,BRK,15400000
Clint Capela,HOU,15293104
Gorgui Dieng,MIN,15170787
Trevor Ariza,PHO,15000000
Eric Bledsoe,MIL,15000000
Ricky Rubio,UTA,14975000
Tobias Harris,LAC,14800000
J.R. Smith,CLE,14720000
James Johnson,MIA,14651700
Brandon Knight,HOU,14631250
Robin Lopez,CHI,14357750
Luol Deng,LAL,14354067
Marvin Williams,CHO,14087500
Taj Gibson,MIN,14000000
Jeremy Lin,ATL,13768421
Thaddeus Young,IND,13764045
Kenneth Faried,BRK,13764045
Tyson Chandler,PHO,13585000
Marcin Gortat,LAC,13565218
Cody Zeller,CHO,13528090
Eric Gordon,HOU,13500375
Joe Ingles,UTA,13045455
Khris Middleton,MIL,13000000
Michael Kidd-Gilchrist,CHO,13000000
Mason Plumlee,DEN,12917808
Wilson Chandler,PHI,12800562
Nikola Vucevic,ORL,12750000
Austin Rivers,WAS,12650000
Jordan Clarkson,CLE,12500000
Miles Plumlee,ATL,12500000
Nikola Mirotic,NOP,12500000
Tyreke Evans,IND,12400000
Courtney Lee,NYK,12253780
Solomon Hill,NOP,12252928
J.J. Redick,PHI,12250000
Kelly Olynyk,MIA,12137527
Kentavious Caldwell-Pope,LAL,12000000
Avery Bradley,LAC,12000000
Kemba Walker,CHO,12000000
Will Barton,DEN,11830358
T.J. Warren,PHO,11750000
Zach Randolph,SAC,11692308
Marcus Smart,BOS,11660716
Patty Mills,SAS,11571429
Dion Waiters,MIA,11550000
Alec Burks,UTA,11536515
John Henson,MIL,11327466
Omer Asik,CHI,11286516
Jusuf Nurkic,POR,11111111
Iman Shumpert,SAC,11011234
Maurice Harkless,POR,10837079
Tony Snell,MIL,10607143
Meyers Leonard,POR,10595506
Terrence Ross,ORL,10500000
Bojan Bogdanovic,IND,10500000
Robert Covington,MIN,10464092
Rudy Gay,SAS,10087200
Jon Leuer,DET,10002681
Andre Roberson,OKC,10000000
Danny Green,TOR,10000000
Darren Collison,IND,10000000
Dwight Powell,DAL,9631250
Matthew Dellavedova,MIL,9607500
Dante Exum,UTA,9600000
Jared Dudley,BRK,9530000
Norman Powell,TOR,9367200
Josh Richardson,MIA,9367200
Bogdan Bogdanovic,SAC,9000000
Rajon Rondo,LAL,9000000
E'Twaun Moore,NOP,8808685
Kosta Koufos,SAC,8739500
Jerami Grant,OKC,8653847
Fred VanVleet,TOR,8653847
Kyle Anderson,MEM,8641000
Julius Randle,NOP,8641000
Markieff Morris,WAS,8600000
Jerryd Bayless,MIN,8575916
Cristiano Felicio,CHI,8470980
Markelle Fultz,PHI,8339880
Joe Harris,BRK,8333333
C.J. Miles,TOR,8333333
Shaun Livingston,GSW,8307692
Deandre Ayton,PHO,8165160
Lou Williams,LAC,8000000
Garrett Temple,MEM,8000000
P.J. Tucker,HOU,7969537
Cory Joseph,IND,7945000
JaMychal Green,MEM,7866667
Karl-Anthony Towns,MIN,7839435
Kyle Korver,CLE,7560000
Jeremy Lamb,CHO,7488372
Darrell Arthur,PHO,7464912
Lonzo Ball,LAL,7461960
Doug McDermott,IND,7333334
Jae Crowder,UTA,7305825
Marvin Bagley,SAC,7305600
D.J. Augustin,ORL,7250000
Dewayne Dedmon,ATL,7200000
Lance Thomas,NYK,7119650
D'Angelo Russell,BRK,7019698
Langston Galloway,DET,7000000
Davis Bertans,SAS,7000000
Ersan Ilyasova,MIL,7000000
Boban Marjanovic,LAC,7000000
Al-Farouq Aminu,POR,6957105
Jayson Tatum,BOS,6700800
Luka Doncic,DAL,6560640
Nemanja Bjelica,SAC,6500000
Mario Hezonja,NYK,6500000
Ben Simmons,PHI,6434520
Milos Teodosic,LAC,6300000
Wayne Ellington,MIA,6270000
Marco Belinelli,SAS,6153846
Wesley Johnson,NOP,6134520
Josh Jackson,PHO,6041520
Montrezl Harrell,LAC,6000000
Jonathon Simmons,ORL,6000000
Ish Smith,DET,6000000
Jaren Jackson,MEM,5915040
Brandon Ingram,LAL,5757120
Anthony Tolliver,MIN,5750000
Kristaps Porzingis,NYK,5697054
Deron Williams,BRK,5474787
De'Aaron Fox,SAC,5470920
Ben McLemore,SAC,5460000
Alex Abrines,OKC,5455236
Patrick Patterson,OKC,5451600
Jason Smith,WAS,5450000
Marcus Morris,BOS,5375000
Trae Young,ATL,5356440
Dwight Howard,WAS,5337000
DeMarcus Cousins,GSW,5337000
Josh Smith,DET,5331729
Alexis Ajinca,LAC,5285394
Thabo Sefolosha,UTA,5250000
Aron Baynes,BOS,5193600
Jaylen Brown,BOS,5169960
Patrick Beverley,LAC,5027028
Tony Parker,CHO,5000000
Mike Muscala,PHI,5000000
Dirk Nowitzki,DAL,5000000
Jonathan Isaac,ORL,4969080
Mohamed Bamba,ORL,4865040
Willie Cauley-Stein,SAC,4696875
Dragan Bender,PHO,4661280
Ron Baker,NYK,4544400
Lauri Markkanen,CHI,4536120
Lance Stephenson,LAL,4449000
Kyle O'Quinn,IND,4449000
Ed Davis,BRK,4449000
Wendell Carter,CHI,4441200
Justin Holiday,CHI,4384616
Alex Len,ATL,4350000
Mike Scott,LAC,4320500
Luc Mbah a Moute,LAC,4320500
Emmanuel Mudiay,NYK,4294480
Kris Dunn,CHI,4221000
Frank Ntilikina,NYK,4155720
Glenn Robinson,DET,4075000
Collin Sexton,CLE,4068600
Al Jefferson,IND,4000000
Stanley Johnson,DET,3940402
Buddy Hield,SAC,3833760
Dennis Smith,DAL,3819960
Kevin Knox,NYK,3739920
J.J. Barea,DAL,3710850
Nene Hilario,HOU,3651480
Zach Collins,POR,3628920
Frank Kaminsky,CHO,3627842
Mikal Bridges,PHO,3552960
Mirza Teletovic,MIL,3500000
Michael Beasley,LAL,3500000
Jamal Murray,DEN,3499800
Rodney Hood,CLE,3472887
Jodie Meeks,MIL,3454500
Justise Winslow,MIA,3448926
Malik Monk,CHO,3447480
Myles Turner,IND,3410284
Brook Lopez,MIL,3382000
Shai Gilgeous-Alexander,LAC,3375360
Trey Lyles,DEN,3364249
Ekpe Udoh,UTA,3360000
Devin Booker,PHO,3314365
Luke Kennard,DET,3275280
Cameron Payne,CHI,3263294
Troy Daniels,PHO,3258539
Kelly Oubre,WAS,3208630
Miles Bridges,CHO,3206640
Marquese Chriss,HOU,3206160
Tomas Satoransky,WAS,3129187
Bryn Forbes,SAS,3125000
Donovan Mitchell,UTA,3111480
Terry Rozier,BOS,3050390
Jerome Robinson,LAC,3046200
Yogi Ferrell,SAC,3000000
Elfrid Payton,NOP,3000000
Bam Adebayo,MIA,2955840
Jakob Poeltl,SAS,2947320
Michael Porter,DEN,2894160
Andrew Nicholson,POR,2844429
Justin Jackson,SAC,2807880
Thon Maker,MIL,2799720
Seth Curry,POR,2795000
Cedi Osman,CLE,2775000
Sam Dekker,CLE,2760095
Troy Brown,WAS,2749080
Guerschon Yabusele,BOS,2667600
Justin Patton,PHI,2667600
Domantas Sabonis,IND,2659800
Jerian Grant,ORL,2639314
Zhaire Smith,PHI,2611800
Delon Wright,TOR,2536898
D.J. Wilson,MIL,2534280
Dario Saric,MIN,2526840
Taurean Waller-Prince,ATL,2526840
Justin Anderson,ATL,2516048
Manu Ginobili,SAS,2500000
Dante Cunningham,SAS,2500000
Reggie Bullock,DET,2500000
Bobby Portis,CHI,2494346
Donte DiVincenzo,MIL,2481000
Rondae Hollis-Jefferson,BRK,2470357
Tyus Jones,MIN,2444053
Jarell Martin,ORL,2416222
T.J. Leaf,IND,2407560
Jeff Green,WAS,2393887
Amir Johnson,PHI,2393887
Raymond Felton,OKC,2393887
Luol Deng,MIN,2393887
Dwyane Wade,MIA,2393887
Udonis Haslem,MIA,2393887
JaVale McGee,LAL,2393887
Gerald Green,HOU,2393887
Carmelo Anthony,HOU,2393887
Jose Calderon,DET,2393887
Zaza Pachulia,DET,2393887
Devin Harris,DAL,2393887
Channing Frye,CLE,2393887
Vince Carter,ATL,2393887
Jamal Crawford,PHO,2393887
Tyson Chandler,LAL,2393887
Tyson Chandler,LAL,2393887
Lonnie Walker,SAS,2357160
Jamal Crawford,ATL,2304226
John Collins,ATL,2299080
Denzel Valentine,CHI,2280600
Larry Nance,CLE,2272391
Kevin Huerter,ATL,2250960
Monta Ellis,IND,2245400
Harry Giles,SAC,2207040
Darius Miller,NOP,2205000
Derrick Rose,MIN,2176260
Omri Casspi,MEM,2176260
Juan Hernangomez,DEN,2166360
Greg Monroe,TOR,2165481
Jonas Jerebko,GSW,2165481
Josh Okogie,MIN,2160720
Raul Neto,UTA,2150000
Matt Barnes,SAC,2133542
Terrance Ferguson,OKC,2118840
Grayson Allen,UTA,2074320
Jarrett Allen,BRK,2034120
Shelvin Mack,MEM,2029463
Isaiah Thomas,DEN,2029463
Spencer Hawes,MIL,2007058
Georgios Papagiannis,SAC,2000400
Torrey Craig,DEN,2000000
Chandler Hutchison,CHI,1991520
OG Anunoby,TOR,1952760
Ante Zizic,CLE,1952760
Shabazz Napier,BRK,1942422
Anderson Varejao,POR,1913345
Aaron Holiday,IND,1911960
Quincy Pondexter,SAS,1893447
Tim Duncan,SAS,1881250
Tyler Lydon,DEN,1874640
Larry Sanders,MIL,1865547
Henry Ellenson,DET,1857480
Anfernee Simons,POR,1835520
Trey Burke,NYK,1795015
Malik Beasley,DEN,1773840
Moritz Wagner,LAL,1762080
Nerlens Noel,OKC,1757429
Ian Clark,NOP,1757429
Michael Carter-Williams,HOU,1757429
Caleb Swanigan,POR,1740000
Furkan Korkmaz,PHI,1740000
Landry Shamet,PHI,1703640
Caris LeVert,BRK,1702800
Jonah Bolden,PHI,1690000
Kyle Kuzma,LAL,1689840
Tony Bradley,UTA,1679520
Derrick White,SAS,1667160
MarShon Brooks,MEM,1656092
Spencer Dinwiddie,BRK,1656092
Josh Hart,LAL,1655160
Robert Williams,BOS,1654440
Jacob Evans,GSW,1644240
Pat Connaughton,MIL,1641000
DeAndre' Bembry,ATL,1634640
Dzanan Musa,BRK,1632240
Nik Stauskas,POR,1621415
James Ennis,HOU,1621415
Lorenzo Brown,TOR,1621415
Noah Vonleh,NYK,1621415
Omari Spellman,ATL,1620480
Luke Kornet,NYK,1619000
Rodions Kurucs,BRK,1618320
Richaun Holmes,PHO,1600520
T.J. McConnell,PHI,1600520
Malachi Richardson,TOR,1569360
Kevon Looney,GSW,1567007
Salah Mejri,DAL,1567007
Jahlil Okafor,NOP,1567007
Tim Frazier,NOP,1567007
Pascal Siakam,TOR,1544951
Skal Labissiere,SAC,1544951
Dejounte Murray,SAS,1544951
Damian Jones,GSW,1544951
Deyonta Davis,SAC,1544951
Jake Layman,POR,1544951
Wade Baldwin,POR,1544951
Timothe Luwawu-Cabarrot,OKC,1544951
Cheick Diallo,NOP,1544951
Malcolm Brogdon,MIL,1544951
Rodney McGruder,MIA,1544951
Wayne Selden,MEM,1544951
Ivica Zubac,LAL,1544951
Quinn Cook,GSW,1544951
Chinanu Onuaku,DAL,1544951
Dorian Finney-Smith,DAL,1544951
Willy Hernangomez,CHO,1544951
Georges Niang,UTA,1512601
Derrick Jones,MIA,1512601
David Nwaba,CLE,1512601
Treveon Graham,BRK,1512601
Christian Wood,MIL,1512601
Isaiah Canaan,PHO,1512601
Svi Mykhailiuk,LAL,1487694
Mitchell Robinson,NYK,1485440
Jordan Bell,GSW,1378252
Frank Jackson,NOP,1378242
Thomas Bryant,WAS,1378242
Frank Mason,SAC,1378242
Davon Reed,PHO,1378242
Khem Birch,ORL,1378242
Wesley Iwundu,ORL,1378242
Abdel Nader,OKC,1378242
Damyean Dotson,NYK,1378242
Sterling Brown,MIL,1378242
Rade Zagorac,MEM,1378242
Dillon Brooks,MEM,1378242
Ivan Rabb,MEM,1378242
Jawun Evans,LAC,1378242
Sindarius Thornwell,LAC,1378242
Ike Anigbogu,IND,1378242
Maxi Kleber,DAL,1378242
Dwayne Bacon,CHO,1378242
Semi Ojeleye,BOS,1378242
Daniel Theis,BOS,1378242
Tyler Dorsey,ATL,1378242
Royce O'Neale,UTA,1378242
Zhou Qi,HOU,1378242
Kevin Martin,MIN,1360304
Monte Morris,DEN,1349383
Antonio Blakeney,CHI,1349383
Jabari Bird,BOS,1349383
Daniel Hamilton,ATL,1349383
Chasson Randle,WAS,1349383
James Nunnally,MIN,1349383
Tyrone Wallace,LAC,1349383
Alfonzo McKinnie,GSW,1349383
Ryan Arcidiacono,CHI,1349383
Elie Okobo,PHO,1238464
Jalen Brunson,DAL,1230000
Melvin Frazier,ORL,1050000
Isaac Bonga,LAL,1000000
Justin Hamilton,TOR,1000000
Shelvin Mack,ORL,1000000
Kyle Singler,OKC,999200
Devonte' Graham,CHO,988464
De'Anthony Melton,PHO,949000
Jason Thompson,GSW,945126
Gary Trent,POR,838464
Hamidou Diallo,OKC,838464
Keita Bates-Diop,MIN,838464
Jevon Carter,MEM,838464
Bruce Brown,DET,838464
Jarred Vanderbilt,DEN,838464
Ray Spalding,DAL,838464
Khyri Thomas,DET,838464
Chimezie Metu,SAS,838464
Alize Johnson,IND,838464
Isaiah Hartenstein,HOU,838464
Ryan Broekhoff,DAL,838464
Brad Wanamaker,BOS,838464
Isaiah Briscoe,ORL,838464
Isaiah Cousins,UTA,838464
Kenrich Williams,NOP,838464
Martell Webster,WAS,833333
Cole Aldrich,MIN,685341
Carlos Delfino,LAC,650000
Caron Butler,SAC,517219
Dakari Johnson,MEM,459414
A.J. Hammons,MIA,350088
Festus Ezeli,POR,333333
C.J. Watson,ORL,333333
Miroslav Raduljica,LAC,252043
Troy Williams,HOU,122741
Demetrius Jackson,BOS,92857
Shaquille Harrison,PHO,50000
Garlon Green,NOP,50000
